Server ID,Energy Consumption (kWh),Cooling Efficiency (%),Power Usage Effectiveness (PUE),Timestamp,Server Location,Server Type,Energy Source,Cooling System Type,Energy Cost (€),Carbon Emissions (kg CO2),Maintenance Status,Energy Savings Target (%),Peak Energy Usage (kWh),Off-Peak Energy Usage (kWh),Year,Month,Day
Server-0947,769.45,91,1.84,2021-01-02 08:14:13,Germany,Enterprise,Grid,Compressor Cooling,52.9,401.04,Needs Maintenance,21,1053.0,104.0,2021,1,2
Server-0948,619.55,68,1.73,2023-08-13 13:10:41,Paris,Backup Server,Battery Backup,Compressor Cooling,118.43,104.92,Retired,25,982.0,204.0,2023,8,13
Server-0949,595.42,80,1.75,2021-09-11 08:47:21,Germany,Cloud,Grid,Liquid Cooling,150.42,184.31,Needs Maintenance,29,1053.0,221.0,2021,9,11
Server-0950,256.47,60,1.2,2020-03-28 18:29:14,Amsterdam,Network Node,Battery Backup,Evaporative Cooling,67.39,171.69,Active,27,935.0,212.0,2020,3,28
Server-0951,517.89,64,1.47,2020-08-18 11:07:05,London,Enterprise,Wind,Compressor Cooling,98.01,102.81,Under Repair,34,991.0,224.0,2020,8,18
Server-0952,489.96,59,1.86,2024-01-10 12:24:00,Lisbon,Network Node,Wind,Heat Pipe Cooling,40.24,472.92,Inactive,20,1009.0,159.0,2024,1,10
Server-0953,543.61,92,1.5,2021-03-11 07:52:05,Stockholm,Mainframe,Biomass,Liquid Cooling,180.59,168.21,Active,19,1063.0,176.0,2021,3,11
Server-0954,445.9,72,1.68,2024-12-18 11:57:00,Stockholm,Cloud,Wind,Compressor Cooling,205.73,156.45,Active,18,1010.0,80.0,2024,12,18
Server-0955,749.31,52,1.59,2020-07-09 00:18:06,Rome,Network Node,Battery Backup,Heat Pipe Cooling,191.99,172.55,Active,33,1027.0,245.0,2020,7,9
Server-0956,507.92,52,1.84,2024-08-14 19:39:31,Paris,Backup Server,Solar,Liquid Cooling,95.75,268.18,Out of Service,29,977.0,155.0,2024,8,14
Server-0957,522.53,67,1.28,2022-08-27 09:40:12,Berlin,Backup Server,Wind,Liquid Cooling,133.67,377.94,Retired,19,1013.0,188.0,2022,8,27
Server-0958,205.63,74,1.58,2020-05-03 18:05:27,Rome,Enterprise,Solar,Liquid Cooling,113.83,186.71,Inactive,25,1063.0,213.0,2020,5,3
Server-0959,484.0,92,1.12,2023-01-12 21:46:31,Dublin,Enterprise,Battery Backup,Thermoelectric Cooling,130.0,110.38,Out of Service,32,919.0,172.0,2023,1,12
Server-0960,672.39,69,1.69,2020-04-23 19:06:06,London,Network Node,Grid,Evaporative Cooling,5.39,302.42,Needs Maintenance,24,1057.0,146.0,2020,4,23
Server-0961,583.34,78,1.73,2023-05-23 16:38:44,Vienna,Backup Server,Grid,Liquid Cooling,97.57,129.16,Needs Maintenance,30,990.0,213.0,2023,5,23
Server-0962,176.66,71,1.04,2024-08-14 23:05:55,Paris,Network Node,Wind,Peltier Cooling,112.23,65.64,Out of Service,18,930.0,111.0,2024,8,14
Server-0963,432.55,64,1.68,2024-09-23 14:25:31,London,Mainframe,Wind,Phase Change Cooling,130.77,137.24,Needs Maintenance,33,987.0,238.0,2024,9,23
Server-0964,759.78,88,1.41,2022-12-23 18:13:00,Lisbon,Cloud,Solar,Fan Cooling,87.82,62.53,Retired,19,1065.0,233.0,2022,12,23
Server-0965,477.4,59,1.12,2024-06-05 10:36:01,Germany,Backup Server,Grid,Fan Cooling,157.43,517.51,Active,29,976.0,173.0,2024,6,5
Server-0966,548.36,70,1.42,2021-08-29 15:50:02,Berlin,Edge,Wind,Liquid Cooling,56.89,192.62,Active,20,1015.0,175.0,2021,8,29
Server-0967,742.85,78,1.19,2022-03-13 16:52:46,Stockholm,Backup Server,Battery Backup,Compressor Cooling,126.57,470.54,Out of Service,16,919.0,151.0,2022,3,13
Server-0968,476.81,81,1.42,2024-11-21 17:18:42,Paris,Mainframe,Wind,Peltier Cooling,62.71,292.91,Out of Service,24,909.0,181.0,2024,11,21
Server-0969,618.65,59,1.38,2020-11-16 13:17:38,Paris,Backup Server,Grid,Peltier Cooling,130.99,85.34,Out of Service,34,946.0,190.0,2020,11,16
Server-0970,561.71,62,1.74,2020-05-29 14:05:39,Germany,Mainframe,Hydro,Fan Cooling,111.43,125.98,Inactive,20,1051.0,184.0,2020,5,29
Server-0971,593.77,72,1.77,2023-11-26 15:28:25,Lisbon,Backup Server,Battery Backup,Heat Pipe Cooling,98.75,408.67,Active,33,997.0,272.0,2023,11,26
Server-0972,556.88,72,1.61,2020-03-30 11:21:30,London,Mainframe,Wind,Heat Pipe Cooling,58.92,385.35,Under Repair,20,1055.0,113.0,2020,3,30
Server-0973,417.86,80,1.02,2024-12-20 21:14:02,Berlin,Enterprise,Battery Backup,Compressor Cooling,102.03,137.75,Retired,29,1058.0,155.0,2024,12,20
Server-0974,432.83,53,1.93,2024-07-08 05:21:24,Germany,Network Node,Wind,Heat Pipe Cooling,63.72,150.91,Active,15,962.0,237.0,2024,7,8
Server-0975,371.81,52,1.69,2021-12-11 19:10:11,Germany,Backup Server,Solar,Phase Change Cooling,157.93,49.58,Retired,22,1078.0,303.0,2021,12,11
Server-0976,254.04,70,1.03,2022-12-08 11:43:57,Germany,Cloud,Biomass,Compressor Cooling,107.92,130.07,Retired,25,973.0,157.0,2022,12,8
Server-0977,686.68,51,1.82,2024-07-20 21:04:25,Paris,Enterprise,Battery Backup,Heat Pipe Cooling,151.41,73.85,Inactive,28,1050.0,251.0,2024,7,20
Server-0978,501.51,53,1.2,2024-02-01 12:19:51,Paris,Mainframe,Grid,Liquid Cooling,128.79,232.29,Active,15,1048.0,142.0,2024,2,1
Server-0979,679.12,50,1.58,2022-11-04 12:52:53,Paris,Cloud,Wind,Peltier Cooling,108.12,83.74,Inactive,28,1003.0,181.0,2022,11,4
Server-0980,734.81,64,1.47,2023-07-09 02:56:23,Paris,Enterprise,Grid,Heat Pipe Cooling,44.97,51.03,Needs Maintenance,24,1003.0,201.0,2023,7,9
Server-0981,508.01,82,1.42,2023-05-03 05:33:50,Berlin,Edge,Solar,Peltier Cooling,91.16,373.76,Needs Maintenance,31,1016.0,165.0,2023,5,3
Server-0982,302.98,55,1.89,2025-02-28 11:47:37,Lisbon,Backup Server,Battery Backup,Liquid Cooling,111.86,58.73,Retired,25,1006.0,179.0,2025,2,28
Server-0983,470.57,56,1.44,2021-05-01 08:58:37,Vienna,Backup Server,Biomass,Heat Pipe Cooling,142.93,140.19,Active,24,980.0,132.0,2021,5,1
Server-0984,399.33,68,1.08,2023-11-10 08:32:11,Berlin,Mainframe,Battery Backup,Heat Pipe Cooling,94.72,181.95,Needs Maintenance,29,976.0,234.0,2023,11,10
Server-0985,202.98,93,1.95,2025-01-05 22:38:17,Lisbon,Enterprise,Solar,Heat Pipe Cooling,90.58,551.04,Active,26,981.0,155.0,2025,1,5
Server-0986,424.74,50,1.92,2023-03-25 14:47:40,London,Enterprise,Geothermal,Liquid Cooling,142.01,84.09,Needs Maintenance,17,1061.0,167.0,2023,3,25
Server-0987,489.27,88,1.68,2021-12-02 17:16:23,Dublin,Mainframe,Battery Backup,Thermoelectric Cooling,110.63,80.48,Retired,32,921.0,161.0,2021,12,2
Server-0988,403.5,68,1.47,2020-10-19 18:28:29,London,Edge,Solar,Heat Pipe Cooling,101.99,154.3,Active,21,975.0,164.0,2020,10,19
Server-0989,384.27,94,1.09,2025-03-18 15:14:25,Lisbon,Backup Server,Grid,Heat Pipe Cooling,140.15,127.13,Active,25,984.0,207.0,2025,3,18
Server-0990,308.37,75,1.79,2020-10-26 00:48:32,Germany,Network Node,Hydro,Peltier Cooling,138.4,366.67,Needs Maintenance,32,989.0,203.0,2020,10,26
Server-0991,529.39,93,1.08,2022-06-19 07:17:18,Vienna,Edge,Grid,Phase Change Cooling,38.72,75.95,Out of Service,31,1015.0,326.0,2022,6,19
Server-0992,780.39,61,1.07,2025-04-02 15:19:19,Stockholm,Mainframe,Wind,Evaporative Cooling,72.04,129.52,Under Repair,30,933.0,188.0,2025,4,2
Server-0993,691.79,71,1.54,2024-02-23 07:39:22,Rome,Network Node,Grid,Thermoelectric Cooling,74.34,157.44,Out of Service,17,1051.0,195.0,2024,2,23
Server-0994,598.04,62,1.16,2020-05-10 22:30:11,Paris,Enterprise,Grid,Liquid Cooling,80.72,96.03,Active,27,1044.0,267.0,2020,5,10
Server-0995,601.31,77,1.01,2021-03-30 22:21:07,Amsterdam,Edge,Grid,Phase Change Cooling,80.42,427.17,Retired,22,1034.0,211.0,2021,3,30
Server-0996,480.1,63,1.42,2023-02-18 11:01:56,Stockholm,Edge,Geothermal,Fan Cooling,189.39,392.96,Needs Maintenance,19,990.0,195.0,2023,2,18
Server-0997,229.32,71,1.14,2022-09-08 06:06:15,Stockholm,Backup Server,Battery Backup,Peltier Cooling,46.59,100.52,Needs Maintenance,21,963.0,193.0,2022,9,8
Server-0998,444.59,79,1.16,2023-08-03 18:18:54,London,Backup Server,Battery Backup,Compressor Cooling,82.47,123.08,Active,33,984.0,210.0,2023,8,3
Server-0999,354.61,93,1.08,2023-10-01 00:21:13,Paris,Network Node,Grid,Peltier Cooling,92.37,257.26,Needs Maintenance,33,1003.0,249.0,2023,10,1
Server-1000,523.2,69,1.21,2022-11-22 04:15:44,Dublin,Enterprise,Hydro,Evaporative Cooling,148.98,471.28,Needs Maintenance,26,1033.0,267.0,2022,11,22
Server-1001,684.98,93,1.72,2021-11-16 10:09:31,Lisbon,Edge,Solar,Phase Change Cooling,213.71,86.39,Active,23,996.0,252.0,2021,11,16
Server-1002,796.01,76,1.81,2020-11-15 05:11:36,Paris,Network Node,Hydro,Phase Change Cooling,135.82,307.74,Active,31,1018.0,223.0,2020,11,15
Server-1003,509.69,87,1.45,2022-01-06 18:13:06,Amsterdam,Edge,Biomass,Heat Pipe Cooling,186.95,158.85,Retired,24,978.0,211.0,2022,1,6
Server-1004,249.93,91,1.51,2023-10-20 22:16:24,Amsterdam,Backup Server,Biomass,Fan Cooling,140.2,316.12,Needs Maintenance,32,1014.0,302.0,2023,10,20
Server-1005,509.4,90,1.03,2024-11-08 23:17:30,Lisbon,Enterprise,Biomass,Fan Cooling,143.21,89.91,Under Repair,15,988.0,176.0,2024,11,8
Server-1006,513.48,83,1.07,2021-10-25 03:29:42,Stockholm,Enterprise,Geothermal,Heat Pipe Cooling,176.75,395.66,Active,29,1013.0,235.0,2021,10,25
Server-1007,601.83,88,1.26,2023-08-05 07:08:45,Paris,Cloud,Grid,Phase Change Cooling,38.35,192.32,Active,25,912.0,259.0,2023,8,5
Server-1008,497.12,90,1.54,2023-05-27 08:10:14,Amsterdam,Network Node,Grid,Peltier Cooling,147.36,168.65,Needs Maintenance,18,1024.0,252.0,2023,5,27
Server-1009,509.98,93,1.74,2022-09-03 16:04:32,Lisbon,Backup Server,Battery Backup,Phase Change Cooling,114.45,443.64,Active,20,1027.0,162.0,2022,9,3
Server-1010,405.19,86,1.61,2022-07-25 11:40:54,Rome,Backup Server,Battery Backup,Heat Pipe Cooling,90.44,486.85,Under Repair,27,1026.0,341.0,2022,7,25
Server-1011,453.21,50,1.39,2023-12-01 10:25:43,Rome,Backup Server,Battery Backup,Evaporative Cooling,146.06,433.09,Out of Service,22,951.0,284.0,2023,12,1
Server-1012,576.98,64,1.12,2023-04-08 05:20:36,Berlin,Mainframe,Battery Backup,Thermoelectric Cooling,140.07,133.58,Needs Maintenance,21,964.0,253.0,2023,4,8
Server-1013,198.73,81,1.78,2020-08-02 01:54:06,Paris,Edge,Battery Backup,Liquid Cooling,96.22,477.83,Active,19,957.0,150.0,2020,8,2
Server-1014,452.41,57,1.36,2023-02-02 06:51:52,Vienna,Enterprise,Biomass,Evaporative Cooling,122.57,414.05,Active,19,1016.0,249.0,2023,2,2
Server-1015,603.18,82,1.74,2022-06-17 19:02:49,Lisbon,Edge,Grid,Liquid Cooling,78.96,123.0,Needs Maintenance,30,1033.0,84.0,2022,6,17
Server-1016,746.11,67,1.51,2025-02-21 13:06:00,Stockholm,Edge,Wind,Fan Cooling,161.96,131.99,Retired,20,965.0,188.0,2025,2,21
Server-1017,440.25,94,1.74,2020-08-18 07:13:08,Dublin,Mainframe,Grid,Compressor Cooling,90.37,412.36,Active,30,1066.0,205.0,2020,8,18
Server-1018,677.81,78,1.91,2022-11-09 20:59:20,Amsterdam,Enterprise,Solar,Heat Pipe Cooling,69.94,136.49,Active,29,1065.0,178.0,2022,11,9
Server-1019,753.5,81,1.92,2023-02-25 17:19:58,Germany,Cloud,Battery Backup,Evaporative Cooling,96.29,416.06,Needs Maintenance,20,1007.0,279.0,2023,2,25
Server-1020,442.19,82,1.54,2025-02-01 22:41:28,Paris,Backup Server,Geothermal,Fan Cooling,116.87,87.99,Needs Maintenance,22,1019.0,205.0,2025,2,1
Server-1021,416.27,54,1.51,2024-08-09 12:50:25,Amsterdam,Network Node,Wind,Evaporative Cooling,111.54,117.24,Under Repair,17,916.0,152.0,2024,8,9
Server-1022,472.69,67,1.27,2023-11-02 20:03:18,Berlin,Edge,Grid,Phase Change Cooling,85.26,232.48,Needs Maintenance,23,974.0,238.0,2023,11,2
Server-1023,487.71,59,1.94,2024-09-08 17:16:17,Lisbon,Mainframe,Wind,Liquid Cooling,177.28,404.55,Active,23,937.0,220.0,2024,9,8
Server-1024,663.62,85,1.46,2022-01-01 15:11:12,Stockholm,Mainframe,Solar,Heat Pipe Cooling,130.86,137.91,Out of Service,19,955.0,112.0,2022,1,1
Server-1025,383.94,82,1.13,2023-05-06 08:02:23,Amsterdam,Network Node,Grid,Phase Change Cooling,115.23,523.29,Active,33,1026.0,267.0,2023,5,6
Server-1026,730.71,72,1.43,2025-01-18 11:46:50,Germany,Network Node,Wind,Liquid Cooling,153.68,408.79,Active,30,1038.0,205.0,2025,1,18
Server-1027,379.89,89,1.13,2024-06-20 20:36:26,Dublin,Enterprise,Hydro,Phase Change Cooling,162.02,333.34,Active,30,1040.0,249.0,2024,6,20
Server-1028,310.34,54,1.5,2022-01-12 15:31:55,Lisbon,Edge,Battery Backup,Liquid Cooling,171.4,327.59,Under Repair,32,1012.0,221.0,2022,1,12
Server-1029,578.57,83,1.56,2025-02-19 12:52:10,Lisbon,Edge,Solar,Thermoelectric Cooling,149.7,447.64,Out of Service,26,1026.0,183.0,2025,2,19
Server-1030,684.58,73,1.34,2022-02-27 06:09:54,Vienna,Network Node,Biomass,Liquid Cooling,139.3,298.38,Under Repair,30,921.0,221.0,2022,2,27
Server-1031,526.8,66,1.07,2022-01-22 05:07:36,Berlin,Backup Server,Biomass,Phase Change Cooling,67.84,130.75,Inactive,19,936.0,195.0,2022,1,22
Server-1032,565.26,80,1.94,2024-08-11 04:24:36,Lisbon,Cloud,Wind,Fan Cooling,101.85,482.29,Needs Maintenance,17,990.0,215.0,2024,8,11
Server-1033,793.14,56,1.77,2024-02-24 22:47:56,Stockholm,Edge,Battery Backup,Heat Pipe Cooling,118.75,602.79,Needs Maintenance,21,1030.0,230.0,2024,2,24
Server-1034,686.7,66,1.84,2022-06-18 05:14:54,Lisbon,Mainframe,Grid,Compressor Cooling,115.5,505.0,Retired,34,978.0,207.0,2022,6,18
Server-1035,504.64,77,1.37,2023-10-03 09:46:34,Vienna,Backup Server,Battery Backup,Thermoelectric Cooling,178.82,315.89,Active,28,932.0,223.0,2023,10,3
Server-1036,435.33,87,1.76,2020-12-27 02:38:13,Berlin,Network Node,Solar,Thermoelectric Cooling,110.68,97.01,Active,30,965.0,181.0,2020,12,27
Server-1037,664.26,71,1.49,2024-06-08 10:59:53,Paris,Edge,Grid,Thermoelectric Cooling,73.35,148.63,Under Repair,15,953.0,171.0,2024,6,8
Server-1038,624.39,64,1.2,2021-10-12 23:18:03,London,Enterprise,Solar,Evaporative Cooling,97.24,350.94,Needs Maintenance,19,914.0,239.0,2021,10,12
Server-1039,562.79,86,1.12,2023-06-05 18:50:41,Paris,Network Node,Wind,Thermoelectric Cooling,12.86,208.62,Active,22,1111.0,273.0,2023,6,5
Server-1040,450.95,64,1.35,2025-03-30 17:52:36,Rome,Mainframe,Solar,Peltier Cooling,146.07,222.21,Out of Service,16,1062.0,174.0,2025,3,30
Server-1041,488.54,74,1.14,2022-01-24 06:54:40,Vienna,Enterprise,Biomass,Liquid Cooling,87.87,394.46,Out of Service,21,901.0,216.0,2022,1,24
Server-1042,477.87,70,2.0,2025-03-06 01:03:12,Lisbon,Network Node,Grid,Thermoelectric Cooling,132.88,515.55,Active,20,904.0,130.0,2025,3,6
Server-1043,453.44,87,1.05,2023-03-17 16:29:07,Berlin,Network Node,Grid,Heat Pipe Cooling,166.08,112.5,Active,24,960.0,290.0,2023,3,17
Server-1044,409.83,51,1.44,2022-12-04 05:21:44,Paris,Edge,Wind,Evaporative Cooling,103.13,371.47,Needs Maintenance,17,926.0,257.0,2022,12,4
Server-1045,539.78,76,1.45,2023-03-22 06:44:00,Paris,Enterprise,Wind,Heat Pipe Cooling,103.04,392.05,Active,20,1119.0,171.0,2023,3,22
Server-1046,403.05,81,1.3,2023-02-09 20:43:07,Rome,Network Node,Wind,Phase Change Cooling,71.86,114.77,Active,33,960.0,182.0,2023,2,9
Server-1047,526.61,70,1.57,2024-10-09 08:48:14,Paris,Backup Server,Solar,Evaporative Cooling,206.63,289.58,Retired,16,1018.0,260.0,2024,10,9
Server-1048,185.02,53,1.15,2020-04-19 03:45:04,Vienna,Mainframe,Wind,Heat Pipe Cooling,86.08,622.22,Needs Maintenance,33,975.0,209.0,2020,4,19
Server-1049,410.02,93,1.78,2024-06-22 18:21:04,Paris,Enterprise,Solar,Compressor Cooling,106.39,138.31,Retired,31,942.0,232.0,2024,6,22
Server-1050,664.75,68,1.33,2020-08-15 12:57:00,Stockholm,Backup Server,Grid,Peltier Cooling,116.92,65.83,Out of Service,18,1052.0,151.0,2020,8,15
Server-1051,364.94,51,1.59,2023-01-14 10:33:01,Rome,Edge,Grid,Heat Pipe Cooling,61.18,128.81,Inactive,17,1033.0,229.0,2023,1,14
Server-1052,588.82,75,1.72,2023-01-18 18:54:50,Berlin,Cloud,Wind,Peltier Cooling,75.02,213.14,Active,28,997.0,193.0,2023,1,18
Server-1053,377.41,83,1.89,2023-02-20 00:50:26,Berlin,Network Node,Grid,Heat Pipe Cooling,75.86,93.29,Active,17,1119.0,215.0,2023,2,20
Server-1054,616.37,63,1.84,2025-01-07 15:54:37,Paris,Cloud,Grid,Peltier Cooling,85.02,387.02,Out of Service,25,1012.0,180.0,2025,1,7
Server-1055,455.43,64,1.61,2022-05-26 21:54:55,Vienna,Network Node,Battery Backup,Liquid Cooling,107.7,435.67,Under Repair,24,977.0,189.0,2022,5,26
Server-1056,449.5,69,1.39,2024-03-07 16:30:21,Vienna,Backup Server,Battery Backup,Peltier Cooling,117.82,30.38,Active,17,1096.0,205.0,2024,3,7
Server-1057,508.15,83,1.5,2020-06-07 12:06:04,Dublin,Edge,Grid,Peltier Cooling,70.65,568.03,Under Repair,23,1020.0,171.0,2020,6,7
Server-1058,298.49,85,1.77,2024-12-21 21:27:08,Amsterdam,Edge,Wind,Liquid Cooling,129.8,300.88,Active,30,1081.0,313.0,2024,12,21
Server-1059,645.81,68,1.88,2020-05-15 13:11:08,Stockholm,Edge,Battery Backup,Liquid Cooling,148.57,116.58,Retired,32,998.0,147.0,2020,5,15
Server-1060,695.52,58,1.1,2024-09-14 08:58:21,Dublin,Edge,Battery Backup,Phase Change Cooling,115.83,182.51,Needs Maintenance,19,849.0,225.0,2024,9,14
Server-1061,446.0,56,1.38,2023-04-11 07:26:23,Amsterdam,Enterprise,Wind,Peltier Cooling,93.09,567.54,Out of Service,29,922.0,215.0,2023,4,11
Server-1062,578.63,79,1.78,2020-04-26 10:04:39,London,Enterprise,Hydro,Heat Pipe Cooling,128.16,305.3,Retired,30,1054.0,238.0,2020,4,26
Server-1063,616.84,62,1.43,2023-05-25 11:48:50,Germany,Network Node,Grid,Thermoelectric Cooling,73.49,494.61,Retired,32,971.0,75.0,2023,5,25
Server-1064,486.31,76,1.33,2020-06-08 13:03:29,Amsterdam,Enterprise,Solar,Compressor Cooling,135.3,392.86,Out of Service,20,1013.0,116.0,2020,6,8
Server-1065,333.76,93,1.41,2023-06-23 00:37:49,Germany,Network Node,Biomass,Evaporative Cooling,107.38,224.54,Active,18,1057.0,173.0,2023,6,23
Server-1066,739.11,84,1.6,2023-08-13 07:21:38,Rome,Enterprise,Grid,Thermoelectric Cooling,73.28,299.25,Active,27,1009.0,246.0,2023,8,13
Server-1067,441.12,62,2.0,2022-02-23 20:48:46,Paris,Enterprise,Grid,Liquid Cooling,104.63,560.59,Needs Maintenance,15,957.0,187.0,2022,2,23
Server-1068,408.63,64,1.49,2023-10-06 10:01:37,Amsterdam,Enterprise,Wind,Fan Cooling,116.05,309.17,Active,16,999.0,185.0,2023,10,6
Server-1069,745.82,58,1.21,2023-04-27 11:43:13,Vienna,Mainframe,Solar,Heat Pipe Cooling,74.0,84.74,Active,29,1005.0,201.0,2023,4,27
Server-1070,591.51,94,1.16,2024-09-08 20:28:53,Stockholm,Edge,Battery Backup,Compressor Cooling,59.6,113.63,Needs Maintenance,18,980.0,158.0,2024,9,8
Server-1071,538.61,72,1.04,2020-06-11 05:36:43,London,Mainframe,Solar,Compressor Cooling,153.03,63.48,Inactive,27,931.0,224.0,2020,6,11
Server-1072,354.39,85,1.56,2023-07-04 17:31:45,Berlin,Enterprise,Battery Backup,Liquid Cooling,123.62,270.26,Inactive,28,982.0,210.0,2023,7,4
Server-1073,620.42,89,1.54,2022-02-02 08:45:38,Dublin,Enterprise,Wind,Phase Change Cooling,125.58,338.99,Needs Maintenance,29,995.0,225.0,2022,2,2
Server-1074,934.48,52,1.21,2024-02-12 06:01:34,Paris,Mainframe,Battery Backup,Liquid Cooling,80.24,346.53,Inactive,22,928.0,276.0,2024,2,12
Server-1075,632.08,83,1.7,2022-12-22 19:20:39,Dublin,Backup Server,Wind,Phase Change Cooling,99.09,478.1,Needs Maintenance,23,954.0,188.0,2022,12,22
Server-1076,574.41,68,1.74,2021-10-08 10:36:54,Dublin,Network Node,Grid,Thermoelectric Cooling,168.03,467.46,Needs Maintenance,19,964.0,206.0,2021,10,8
Server-1077,608.16,77,1.26,2021-03-04 06:38:30,Lisbon,Edge,Wind,Fan Cooling,126.69,371.0,Out of Service,17,907.0,151.0,2021,3,4
Server-1078,450.78,72,1.34,2020-06-10 09:53:22,Dublin,Network Node,Grid,Fan Cooling,125.76,179.56,Active,21,1006.0,137.0,2020,6,10
Server-1079,449.35,89,1.99,2023-01-13 15:08:57,Dublin,Backup Server,Grid,Liquid Cooling,167.89,134.82,Active,22,1012.0,200.0,2023,1,13
Server-1080,447.43,94,1.37,2022-10-28 06:21:13,Lisbon,Edge,Solar,Evaporative Cooling,141.06,105.13,Needs Maintenance,30,973.0,205.0,2022,10,28
Server-1081,413.76,56,1.76,2023-01-20 00:31:14,Lisbon,Cloud,Wind,Thermoelectric Cooling,140.19,93.67,Inactive,31,932.0,234.0,2023,1,20
Server-1082,447.13,90,1.45,2022-08-02 12:20:13,Stockholm,Edge,Biomass,Peltier Cooling,63.11,102.81,Needs Maintenance,24,1020.0,229.0,2022,8,2
Server-1083,446.43,61,1.79,2023-08-14 06:20:33,Amsterdam,Network Node,Battery Backup,Liquid Cooling,174.73,557.48,Needs Maintenance,15,1027.0,213.0,2023,8,14
Server-1084,463.3,63,1.77,2024-08-03 23:26:03,Amsterdam,Edge,Grid,Liquid Cooling,45.04,102.23,Active,33,1005.0,284.0,2024,8,3
Server-1085,459.1,64,1.67,2023-06-16 00:05:58,Stockholm,Cloud,Grid,Thermoelectric Cooling,119.48,92.55,Out of Service,32,1002.0,184.0,2023,6,16
Server-1086,536.45,52,1.85,2024-03-28 14:29:47,Lisbon,Cloud,Solar,Compressor Cooling,40.96,124.87,Needs Maintenance,32,1030.0,191.0,2024,3,28
Server-1087,511.82,64,1.94,2023-09-18 13:52:47,Germany,Enterprise,Wind,Liquid Cooling,68.87,316.51,Needs Maintenance,34,995.0,214.0,2023,9,18
Server-1088,525.1,73,1.58,2023-11-16 08:41:21,Berlin,Cloud,Solar,Liquid Cooling,126.26,442.17,Needs Maintenance,19,954.0,141.0,2023,11,16
Server-1089,728.34,57,1.24,2024-08-13 09:50:36,Stockholm,Mainframe,Geothermal,Liquid Cooling,126.07,402.63,Active,25,996.0,234.0,2024,8,13
Server-1090,511.51,54,1.4,2024-06-27 17:02:15,London,Network Node,Grid,Evaporative Cooling,187.19,194.51,Needs Maintenance,15,980.0,204.0,2024,6,27
Server-1091,831.63,53,1.76,2023-09-08 23:46:24,Stockholm,Mainframe,Biomass,Compressor Cooling,113.87,114.06,Needs Maintenance,25,996.0,205.0,2023,9,8
Server-1092,552.9,63,1.65,2024-09-09 15:53:42,Lisbon,Backup Server,Wind,Heat Pipe Cooling,163.1,197.41,Under Repair,25,1044.0,227.0,2024,9,9
Server-1093,432.91,65,1.18,2020-07-12 08:14:10,Germany,Mainframe,Wind,Thermoelectric Cooling,74.02,151.17,Needs Maintenance,19,940.0,219.0,2020,7,12
Server-1094,702.44,69,1.05,2021-03-04 03:49:42,Paris,Network Node,Battery Backup,Heat Pipe Cooling,88.4,434.68,Active,34,1009.0,221.0,2021,3,4
Server-1095,488.07,73,1.68,2020-09-30 20:09:50,Lisbon,Backup Server,Biomass,Heat Pipe Cooling,119.36,151.31,Under Repair,32,937.0,181.0,2020,9,30
Server-1096,140.95,55,1.25,2022-09-06 20:35:24,Rome,Mainframe,Wind,Heat Pipe Cooling,92.72,44.78,Needs Maintenance,22,954.0,278.0,2022,9,6
Server-1097,499.4,80,1.5,2024-06-06 01:26:47,Rome,Mainframe,Solar,Compressor Cooling,99.55,193.88,Inactive,29,1079.0,127.0,2024,6,6
Server-1098,462.62,55,1.75,2023-08-23 20:20:24,Berlin,Backup Server,Biomass,Liquid Cooling,126.95,399.03,Active,17,1023.0,166.0,2023,8,23
Server-1099,740.98,84,1.56,2020-12-11 03:56:20,Lisbon,Mainframe,Solar,Heat Pipe Cooling,67.02,153.28,Under Repair,30,1008.0,172.0,2020,12,11
Server-1100,365.36,64,1.08,2021-09-11 10:56:02,Vienna,Cloud,Solar,Thermoelectric Cooling,136.8,145.05,Under Repair,34,917.0,164.0,2021,9,11
Server-1101,450.1,78,1.19,2023-10-11 07:23:28,Rome,Network Node,Wind,Liquid Cooling,150.17,379.25,Active,26,988.0,113.0,2023,10,11
Server-1102,690.15,52,1.22,2024-07-14 01:04:23,Dublin,Network Node,Solar,Peltier Cooling,201.29,476.63,Needs Maintenance,16,896.0,282.0,2024,7,14
Server-1103,559.16,60,1.26,2025-01-10 08:47:29,Paris,Network Node,Biomass,Peltier Cooling,39.48,169.79,Active,34,1002.0,232.0,2025,1,10
Server-1104,474.28,52,1.57,2024-09-24 07:33:49,Dublin,Mainframe,Solar,Heat Pipe Cooling,106.73,340.31,Under Repair,34,938.0,168.0,2024,9,24
Server-1105,386.53,77,1.5,2022-05-30 21:36:58,London,Cloud,Wind,Evaporative Cooling,116.67,145.93,Needs Maintenance,27,1028.0,235.0,2022,5,30
Server-1106,552.76,59,1.2,2023-06-04 05:18:23,Berlin,Network Node,Battery Backup,Thermoelectric Cooling,126.64,418.2,Under Repair,33,1008.0,192.0,2023,6,4
Server-1107,495.6,82,1.07,2023-01-07 17:58:27,London,Edge,Wind,Liquid Cooling,100.45,155.24,Retired,27,939.0,185.0,2023,1,7
Server-1108,384.83,65,1.17,2020-12-09 11:37:23,London,Network Node,Solar,Compressor Cooling,174.78,411.85,Needs Maintenance,32,1019.0,152.0,2020,12,9
